Type,Year,Spot,Start,Max,End
B3.8, 2016-11-30, 2615, 05:06:00, 05:11:00,
B3.8, 2016-11-29, 2615, 09:53:00, 09:57:00,
B3.8, 2016-11-28, 2611, 08:40:00, 08:46:00,
B3.8, 2016-10-10, 2599, 17:36:00, 17:40:00,
B3.8, 2016-09-09, 2585, 06:56:00, 07:01:00,
B3.8, 2016-08-05, 2572, 09:20:00, 09:29:00,
B3.8, 2016-08-05, 2572, 05:10:00, 05:14:00,
B3.8, 2016-05-14, 2543, 05:34:00, 05:37:00,
B3.7, 2017-04-23, 2651, 03:02:00, 03:06:00,
B3.7, 2017-04-20, 2651, 21:17:00, 21:23:00,
B3.7, 2016-12-01, 2615, 11:40:00, 11:47:00,
B3.7, 2016-11-30, 2615, 04:38:00, 04:45:00,
B3.7, 2016-10-11, 2598, 09:45:00, 09:48:00,
B3.7, 2016-03-28, 2526, 07:52:00, 07:57:00,
B3.7, 2016-01-20, 2484, 00:58:00, 01:02:00,
B3.6, 2017-04-17, 2651, 14:40:00, 14:46:00,
B3.6, 2017-04-17, 2651, 01:28:00, 01:39:00,
B3.6, 2017-03-31, 2644, 21:09:00, 21:12:00,
B3.6, 2017-01-21, 2628, 04:02:00, 04:05:00,
B3.6, 2016-12-07, 2615, 17:52:00, 18:09:00,
B3.6, 2016-11-28, 2611, 02:05:00, 02:12:00,
B3.6, 2016-09-10, 2589, 06:59:00, 07:06:00,
B3.6, 2016-09-09, 2585, 18:37:00, 18:42:00,
B3.6, 2016-09-07, 2585, 04:11:00, 04:17:00,
B3.6, 2016-07-25, 2567, 06:51:00, 06:57:00,
B3.6, 2016-04-30, 2537, 02:46:00, 02:51:00,
B3.6, 2015-09-11, 2415, 21:03:00, 21:07:00,
B3.6, 2015-09-11, 2415, 12:25:00, 12:29:00,
B3.5, 2017-05-06, 2654, 19:55:00, 20:09:00,
B3.5, 2017-04-01, 2645, 14:59:00, 15:02:00,
B3.5, 2017-03-29, 2645, 02:18:00, 02:22:00,
B3.5, 2017-02-28, 2641, 06:23:00, 06:29:00,
B3.5, 2017-01-21, 2628, 08:23:00, 08:26:00,
B3.5, 2016-12-05, 2615, 04:00:00, 04:05:00,
B3.5, 2016-11-29, 2615, 20:49:00, 20:54:00,
B3.5, 2016-10-16, 2602, 13:29:00, 13:56:00,
B3.5, 2016-10-07, 2598, 00:36:00, 00:40:00,
B3.5, 2016-09-20, 2595, 02:45:00, 02:48:00,
B3.5, 2016-08-17, 2576, 09:56:00, 10:01:00,
B3.5, 2016-08-09, 2571, 16:27:00, 16:31:00,
B3.5, 2016-06-11, 2552, 13:55:00, 13:59:00,
B3.5, 2016-02-24, 2506, 01:13:00, 01:18:00,
B3.5, 2015-09-14, 2415, 02:51:00, 02:54:00,
B3.4, 2017-05-05, 2655, 12:23:00, 12:29:00,
B3.4, 2017-04-26, 2652, 15:28:00, 15:38:00,
B3.4, 2016-11-30, 2615, 01:00:00, 01:04:00,
B3.4, 2016-10-02, 2598, 18:53:00, 18:57:00,
B3.4, 2016-09-26, 2597, 23:46:00, 23:54:00,
B3.4, 2016-09-21, 2595, 23:44:00, 23:50:00,
B3.4, 2016-09-08, 2585, 04:14:00, 04:22:00,
B3.4, 2016-08-05, 2572, 03:50:00, 03:55:00,
B3.4, 2016-03-28, 2524, 18:38:00, 18:44:00,
B3.4, 2016-02-24, 2506, 21:24:00, 21:36:00,
B3.3, 2017-05-05, 2655, 22:50:00, 22:57:00,
B3.3, 2017-04-08, 2645, 14:14:00, 14:17:00,
B3.3, 2017-03-31, 2644, 05:45:00, 05:50:00,
B3.3, 2017-03-29, 2644, 12:59:00, 13:09:00,
B3.3, 2017-03-22, 2643, 18:21:00, 18:58:00,
B3.3, 2017-02-28, 2641, 04:30:00, 04:38:00,
B3.3, 2017-02-09, 2635, 06:31:00, 06:35:00,
B3.3, 2016-12-26, 2621, 23:25:00, 23:29:00,
B3.3, 2016-05-09, 2542, 16:17:00, 16:20:00,
B3.3, 2016-03-28, 2526, 02:54:00, 02:59:00,
B3.3, 2015-09-11, 2415, 16:23:00, 16:27:00,
B3.2, 2017-04-17, 2651, 16:24:00, 16:30:00,
B3.2, 2017-03-31, 2644, 13:39:00, 13:42:00,
B3.2, 2017-03-29, 2645, 00:38:00, 00:43:00,
B3.2, 2017-02-26, 2640, 23:11:00, 23:18:00,
B3.2, 2017-01-24, 2629, 23:44:00, 23:49:00,
B3.2, 2016-11-27, 2611, 22:00:00, 22:06:00,
B3.2, 2016-09-19, 2595, 21:06:00, 21:11:00,
B3.2, 2016-01-15, 2480, 13:52:00, 13:55:00,
B3.1, 2017-05-27, 2659, 10:22:00, 10:38:00,
B3.1, 2017-05-06, 2655, 01:04:00, 01:09:00,
B3.1, 2017-02-09, 2635, 01:35:00, 01:40:00,
B3.1, 2017-01-20, 2628, 15:09:00, 15:16:00,
B3.1, 2016-12-27, 2621, 08:20:00, 08:46:00,
B3.1, 2016-11-27, 2613, 13:55:00, 14:02:00,
B3.1, 2016-10-28, 2603, 07:13:00, 07:17:00,
B3.1, 2016-09-26, 2597, 07:52:00, 07:55:00,
B3.1, 2016-05-13, 2542, 05:08:00, 05:09:00,
B3.1, 2015-09-03, 2407, 07:00:00, 07:03:00,
B3.0, 2017-04-30, 2653, 00:12:00, 00:57:00,
B3.0, 2017-02-21, 2638, 22:47:00, 22:53:00,
B3.0, 2017-02-21, 2638, 05:14:00, 05:22:00,
B3.0, 2017-02-09, 2635, 09:32:00, 09:37:00,
B3.0, 2017-02-09, 2635, 07:39:00, 07:48:00,
B3.0, 2017-01-25, 2629, 17:55:00, 18:01:00,
B3.0, 2016-12-26, 2621, 18:47:00, 18:52:00,
B3.0, 2016-10-15, 2602, 04:45:00, 04:55:00,
B3.0, 2016-09-07, 2585, 02:28:00, 02:34:00,
B3.0, 2016-08-28, 2583, 20:12:00, 20:17:00,
B3.0, 2016-08-23, 2579, 03:35:00, 03:39:00,
B3.0, 2016-08-11, 2574, 13:24:00, 13:27:00,
B3.0, 2016-08-10, 2574, 09:38:00, 09:41:00,
B3.0, 2016-02-24, 2506, 00:54:00, 01:01:00,
B3.0, 2016-02-24, 2501, 08:08:00, 08:12:00,
B3.0, 2015-09-05, 2410, 02:11:00, 02:15:00,
B3.0, 2015-09-03, 2407, 09:38:00, 09:43:00,
B2.9, 2017-05-26, 2659, 21:18:00, 21:23:00,
B2.9, 2017-05-01, 2652, 12:58:00, 13:03:00,
B2.9, 2017-04-26, 2652, 12:24:00, 12:30:00,
B2.9, 2017-04-06, 2645, 06:47:00, 06:50:00,
B2.9, 2017-03-31, 2644, 19:12:00, 19:19:00,
B2.9, 2017-02-27, 2641, 17:12:00, 17:23:00,
B2.9, 2017-02-21, 2638, 13:58:00, 14:01:00,
B2.9, 2017-02-21, 2638, 06:41:00, 06:45:00,
B2.9, 2016-12-26, 2621, 21:58:00, 22:02:00,
B2.9, 2016-12-06, 2615, 19:07:00, 19:11:00,
B2.9, 2016-12-01, 2612, 16:12:00, 17:11:00,
B2.9, 2016-11-12, 2610, 16:06:00, 16:10:00,
B2.9, 2016-09-07, 2585, 12:11:00, 12:14:00,
B2.9, 2016-08-13, 2574, 19:36:00, 19:41:00,
B2.9, 2016-08-06, 2572, 01:49:00, 02:13:00,
B2.9, 2016-07-25, 2567, 18:46:00, 18:53:00,
B2.9, 2016-02-24, 2501, 06:57:00, 07:02:00,
B2.8, 2017-05-05, 2655, 15:26:00, 15:35:00,
B2.8, 2017-03-28, 2645, 13:18:00, 13:22:00,
B2.8, 2017-03-01, 2641, 07:57:00, 08:00:00,
B2.8, 2016-12-04, 2615, 10:22:00, 10:25:00,
B2.8, 2016-12-04, 2615, 08:21:00, 08:25:00,
B2.8, 2016-12-03, 2615, 17:33:00, 18:01:00,
B2.8, 2016-10-02, 2598, 17:41:00, 17:44:00,
B2.8, 2016-09-29, 2597, 14:31:00, 14:35:00,
B2.8, 2016-09-25, 2593, 03:06:00, 03:31:00,
B2.8, 2016-09-09, 2589, 04:28:00, 04:31:00,
B2.8, 2016-09-08, 2585, 07:32:00, 07:35:00,
B2.8, 2016-08-23, 2580, 08:47:00, 08:51:00,
B2.8, 2016-08-23, 2579, 06:00:00, 06:03:00,
B2.8, 2016-08-22, 2579, 21:48:00, 21:52:00,
B2.8, 2016-08-05, 2572, 04:29:00, 04:34:00,
B2.8, 2016-06-11, 2552, 00:17:00, 00:20:00,
B2.7, 2017-05-29, 2659, 18:55:00, 18:59:00,
B2.7, 2017-04-10, 2650, 04:23:00, 04:36:00,
B2.7, 2017-03-31, 2645, 06:15:00, 06:19:00,
B2.7, 2017-03-30, 2645, 13:00:00, 13:03:00,
B2.7, 2017-02-21, 2638, 11:27:00, 11:31:00,
B2.7, 2017-02-09, 2635, 00:42:00, 00:50:00,
B2.7, 2017-01-20, 2628, 07:51:00, 08:36:00,
B2.7, 2016-12-21, 2620, 14:12:00, 14:19:00,
B2.7, 2016-12-04, 2615, 16:12:00, 16:15:00,
B2.7, 2016-11-23, 2612, 22:28:00, 22:34:00,
B2.7, 2016-09-13, 2585, 04:40:00, 04:44:00,
B2.7, 2015-10-08, 2427, 06:07:00, 06:14:00,
B2.7, 2015-09-14, 2415, 07:42:00, 07:45:00,
B2.6, 2017-04-20, 2651, 10:43:00, 10:49:00,
B2.6, 2017-04-07, 2645, 17:13:00, 17:20:00,
B2.6, 2017-03-30, 2645, 06:58:00, 07:03:00,
B2.6, 2017-03-30, 2644, 17:57:00, 18:01:00,
B2.6, 2017-03-01, 2641, 08:03:00, 08:07:00,
B2.6, 2017-02-27, 2641, 21:36:00, 21:39:00,
B2.6, 2017-01-26, 2629, 16:26:00, 16:33:00,
B2.6, 2017-01-24, 2629, 18:39:00, 18:45:00,
B2.6, 2017-01-20, 2627, 20:57:00, 21:00:00,
B2.6, 2016-09-08, 2585, 03:52:00, 03:56:00,
B2.6, 2016-08-28, 2582, 19:58:00, 20:01:00,
B2.6, 2016-06-11, 2552, 06:32:00, 06:36:00,
B2.6, 2016-02-24, 2506, 03:43:00, 03:48:00,
B2.6, 2015-10-07, 2427, 05:21:00, 05:34:00,
B2.5, 2017-04-19, 2651, 12:31:00, 12:34:00,
B2.5, 2017-03-28, 2645, 13:51:00, 13:55:00,
B2.5, 2017-02-20, 2638, 23:10:00, 23:14:00,
B2.5, 2016-12-15, 2617, 03:24:00, 03:30:00,
B2.5, 2016-12-05, 2615, 17:10:00, 17:15:00,
B2.5, 2016-12-04, 2615, 10:47:00, 10:50:00,
B2.5, 2016-11-25, 2612, 12:17:00, 12:38:00,
B2.5, 2016-09-23, 2595, 00:33:00, 00:42:00,
B2.5, 2016-08-27, 2582, 14:24:00, 14:29:00,
B2.5, 2016-08-13, 2574, 06:09:00, 06:15:00,
B2.5, 2016-06-10, 2552, 22:02:00, 22:05:00,
B2.4, 2017-04-18, 2651, 00:24:00, 00:28:00,
B2.4, 2017-02-23, 2638, 14:18:00, 14:28:00,
B2.4, 2017-01-25, 2629, 03:54:00, 03:58:00,
B2.4, 2017-01-22, 2628, 12:23:00, 12:27:00,
B2.4, 2016-12-02, 2612, 18:17:00, 18:22:00,
B2.4, 2016-11-27, 2611, 08:33:00, 08:37:00,
B2.4, 2016-09-14, 2589, 19:06:00, 19:11:00,
B2.4, 2016-03-28, 2524, 23:41:00, 23:47:00,
B2.3, 2017-02-21, 2638, 11:20:00, 11:23:00,
B2.3, 2017-02-15, 2636, 12:34:00, 12:43:00,
B2.3, 2017-01-27, 2629, 15:35:00, 15:39:00,
B2.3, 2017-01-26, 2629, 05:23:00, 05:28:00,
B2.3, 2016-12-04, 2615, 12:18:00, 12:24:00,
B2.3, 2016-09-15, 2591, 03:15:00, 03:20:00,
B2.3, 2016-09-10, 2585, 13:36:00, 13:39:00,
B2.3, 2016-09-07, 2586, 09:29:00, 09:33:00,
B2.3, 2016-08-05, 2572, 00:53:00, 00:56:00,
B2.2, 2017-05-27, 2659, 08:48:00, 08:51:00,
B2.2, 2017-04-23, 2651, 02:00:00, 02:04:00,
B2.2, 2017-01-26, 2629, 16:48:00, 16:51:00,
B2.2, 2017-01-26, 2629, 03:48:00, 03:52:00,
B2.2, 2017-01-25, 2629, 22:48:00, 22:52:00,
B2.2, 2017-01-25, 2629, 20:09:00, 20:12:00,
B2.2, 2016-12-30, 2621, 12:22:00, 12:29:00,
B2.2, 2016-11-28, 2611, 05:31:00, 05:34:00,
B2.2, 2016-11-23, 2612, 14:54:00, 15:01:00,
B2.2, 2016-11-04, 2605, 12:26:00, 12:47:00,
B2.2, 2016-09-08, 2585, 02:25:00, 02:28:00,
B2.2, 2016-08-23, 2579, 02:19:00, 02:23:00,
B2.2, 2016-06-10, 2553, 09:47:00, 09:52:00,
B2.2, 2015-09-05, 2409, 10:06:00, 10:10:00,
B2.1, 2017-04-22, 2651, 14:52:00, 14:58:00,
B2.1, 2017-04-18, 2651, 05:51:00, 05:54:00,
B2.1, 2017-03-30, 2644, 19:44:00, 19:53:00,
B2.1, 2017-03-28, 2645, 20:48:00, 20:54:00,
B2.1, 2017-03-28, 2645, 15:46:00, 15:51:00,
B2.1, 2017-03-03, 2641, 05:35:00, 05:40:00,
B2.1, 2017-03-01, 2641, 04:07:00, 04:12:00,
B2.1, 2017-01-26, 2629, 04:40:00, 04:43:00,
B2.1, 2016-12-16, 2617, 09:38:00, 09:43:00,
B2.1, 2016-12-03, 2612, 17:03:00, 17:16:00,
B2.1, 2016-09-17, 2592, 07:00:00, 07:03:00,
B2.1, 2016-06-10, 2552, 05:51:00, 05:54:00,
B2.0, 2017-04-21, 2651, 17:05:00, 17:10:00,
B2.0, 2017-04-17, 2651, 23:39:00, 23:44:00,
B2.0, 2017-03-28, 2645, 21:02:00, 21:05:00,
B2.0, 2017-03-26, 2644, 23:00:00, 23:17:00,
B2.0, 2017-01-26, 2629, 12:18:00, 12:21:00,
B2.0, 2016-11-30, 2615, 20:13:00, 20:17:00,
B2.0, 2016-11-27, 2613, 19:13:00, 19:18:00,
B2.0, 2016-10-28, 2603, 08:58:00, 09:05:00,
B2.0, 2016-10-25, 2603, 00:54:00, 01:05:00,
B2.0, 2016-09-25, 2597, 07:13:00, 07:17:00,
B2.0, 2016-09-18, 2592, 19:39:00, 19:48:00,
B2.0, 2016-08-05, 2572, 18:06:00, 18:11:00,
B1.9, 2017-04-30, 2651, 18:27:00, 18:32:00,
B1.9, 2017-03-01, 2641, 04:30:00, 04:33:00,
B1.9, 2017-01-24, 2629, 16:03:00, 16:08:00,
B1.9, 2017-01-16, 2625, 18:12:00, 18:23:00,
B1.9, 2016-11-27, 2611, 23:00:00, 23:04:00,
B1.9, 2016-11-27, 2611, 22:46:00, 22:49:00,
B1.9, 2016-11-19, 2611, 07:10:00, 07:15:00,
B1.9, 2016-09-24, 2597, 06:28:00, 06:32:00,
B1.9, 2016-09-17, 2592, 08:08:00, 08:11:00,
B1.9, 2016-09-14, 2589, 15:40:00, 15:44:00,
B1.9, 2016-02-24, 2501, 05:27:00, 05:30:00,
B1.8, 2017-05-26, 2659, 01:33:00, 01:36:00,
B1.8, 2017-04-09, 2648, 17:21:00, 17:26:00,
B1.8, 2017-03-26, 2644, 15:54:00, 15:58:00,
B1.8, 2017-02-13, 2635, 06:26:00, 06:36:00,
B1.8, 2017-01-04, 2624, 02:34:00, 02:39:00,
B1.8, 2016-11-26, 2612, 04:05:00, 04:09:00,
B1.8, 2016-11-13, 2610, 01:30:00, 01:41:00,
B1.7, 2017-05-05, 2654, 14:23:00, 14:28:00,
B1.7, 2017-04-18, 2651, 02:18:00, 02:22:00,
B1.7, 2017-03-26, 2644, 19:02:00, 19:05:00,
B1.7, 2017-03-04, 2641, 10:12:00, 10:18:00,
B1.7, 2017-03-03, 2641, 06:55:00, 07:32:00,
B1.7, 2017-02-09, 2635, 11:54:00, 12:04:00,
B1.7, 2017-01-20, 2628, 06:47:00, 07:15:00,
B1.7, 2016-12-07, 2615, 11:19:00, 11:23:00,
B1.7, 2016-12-07, 2615, 09:57:00, 10:00:00,
B1.7, 2016-12-06, 2615, 10:08:00, 10:12:00,
B1.7, 2016-12-03, 2615, 23:47:00, 23:50:00,
B1.7, 2016-11-30, 2615, 11:05:00, 11:11:00,
B1.7, 2016-11-10, 2607, 22:44:00, 22:47:00,
B1.7, 2016-10-26, 2603, 05:34:00, 05:40:00,
B1.7, 2016-08-05, 2572, 12:20:00, 12:23:00,
B1.7, 2015-10-08, 2427, 01:23:00, 01:27:00,
B1.7, 2015-10-06, 2427, 08:17:00, 11:14:00,
B1.6, 2017-05-29, 2659, 14:22:00, 14:25:00,
B1.6, 2017-04-19, 2651, 17:53:00, 17:56:00,
B1.6, 2017-04-10, 2650, 21:17:00, 21:22:00,
B1.6, 2017-03-26, 2644, 13:07:00, 13:12:00,
B1.6, 2017-02-17, 2636, 09:27:00, 09:32:00,
B1.6, 2017-02-04, 2632, 12:59:00, 13:12:00,
B1.6, 2016-12-27, 2621, 10:04:00, 10:12:00,
B1.6, 2016-12-07, 2615, 15:52:00, 15:56:00,
B1.6, 2016-12-07, 2615, 03:34:00, 03:45:00,
B1.6, 2016-12-07, 2615, 01:14:00, 01:17:00,
B1.6, 2016-12-06, 2615, 10:37:00, 10:40:00,
B1.6, 2016-10-21, 2602, 16:39:00, 16:42:00,
B1.6, 2016-08-05, 2572, 00:06:00, 00:09:00,
B1.5, 2017-05-22, 2660, 22:01:00, 22:05:00,
B1.5, 2017-05-05, 2655, 08:41:00, 08:45:00,
B1.5, 2017-05-05, 2654, 06:09:00, 06:14:00,
B1.5, 2017-03-06, 2641, 11:58:00, 12:03:00,
B1.5, 2017-02-27, 2640, 04:57:00, 05:00:00,
B1.5, 2017-02-12, 2635, 04:30:00, 04:34:00,
B1.5, 2017-02-09, 2635, 10:32:00, 10:35:00,
B1.5, 2017-02-06, 2634, 16:16:00, 16:22:00,
B1.5, 2016-12-27, 2621, 12:33:00, 12:38:00,
B1.5, 2016-12-09, 2615, 07:21:00, 07:25:00,
B1.5, 2016-11-13, 2610, 17:29:00, 17:32:00,
B1.5, 2016-11-07, 2605, 04:48:00, 05:02:00,
B1.4, 2017-05-21, 2658, 07:37:00, 07:44:00,
B1.4, 2017-05-05, 2655, 03:30:00, 03:38:00,
B1.4, 2017-05-01, 2652, 09:05:00, 09:11:00,
B1.4, 2017-04-11, 2650, 19:38:00, 19:45:00,
B1.4, 2017-01-20, 2628, 06:42:00, 06:43:00,
B1.4, 2016-11-27, 2611, 06:18:00, 06:24:00,
B1.4, 2016-11-23, 2612, 06:18:00, 06:22:00,
B1.4, 2015-10-07, 2427, 06:32:00, 06:36:00,
B1.3, 2017-05-02, 2654, 19:33:00, 19:36:00,
B1.3, 2017-04-28, 2653, 17:09:00, 17:12:00,
B1.3, 2017-04-12, 2650, 00:07:00, 00:11:00,
B1.3, 2017-04-11, 2650, 10:59:00, 11:11:00,
B1.3, 2017-04-11, 2650, 03:45:00, 04:00:00,
B1.3, 2017-04-10, 2650, 09:53:00, 09:58:00,
B1.3, 2017-03-26, 2644, 15:23:00, 15:27:00,
B1.3, 2017-03-26, 2644, 03:20:00, 03:28:00,
B1.3, 2017-02-17, 2636, 09:53:00, 09:56:00,
B1.3, 2017-01-16, 2626, 01:41:00, 01:44:00,
B1.3, 2016-12-11, 2617, 17:10:00, 17:15:00,
B1.3, 2016-10-25, 2603, 08:56:00, 09:00:00,
B1.3, 2016-10-23, 2602, 06:41:00, 06:45:00,
B1.3, 2016-08-22, 2580, 09:35:00, 09:38:00,
B1.2, 2017-05-16, 2657, 18:06:00, 18:09:00,
B1.2, 2017-03-01, 2641, 07:39:00, 07:43:00,
B1.2, 2017-02-04, 2631, 05:57:00, 06:00:00,
B1.2, 2016-12-11, 2617, 19:16:00, 19:25:00,
B1.2, 2016-11-21, 2610, 00:24:00, 00:27:00,
B1.2, 2016-11-14, 2610, 23:37:00, 23:41:00,
B1.2, 2016-10-26, 2603, 05:24:00, 05:30:00,
B1.2, 2016-10-21, 2603, 09:46:00, 09:49:00,
B1.1, 2017-04-10, 2650, 08:36:00, 08:39:00,
B1.1, 2017-03-04, 2641, 05:33:00, 05:38:00,
B1.1, 2017-02-09, 2635, 10:56:00, 10:59:00,
B1.1, 2017-02-08, 2635, 23:08:00, 23:11:00,
B1.1, 2016-12-16, 2617, 04:26:00, 04:29:00,
B1.1, 2016-11-19, 2611, 22:46:00, 22:50:00,
B1.1, 2016-08-05, 2572, 08:16:00, 08:19:00,
B1.0, 2017-05-06, 2654, 18:27:00, 18:31:00,
B1.0, 2017-04-11, 2650, 18:46:00, 18:50:00,
B1.0, 2017-03-26, 2644, 10:29:00, 10:32:00,
B1.0, 2017-02-15, 2636, 20:48:00, 20:51:00,
B1.0, 2017-01-20, 2628, 06:33:00, 06:36:00,
B1.0, 2016-12-30, 2619, 01:30:00, 01:33:00,
